Unnamed: 0,Email Text,Email Type,label,real_label,predicted_label,decision_score,real_class,predicted_class
3366,re : re : re : your document please read the attached file .,Phishing Email,1,1,0,-0.9977248633047582,Phishing Email,Safe Email
215,"junk mail : books for linguists plurabelle books has a new catalogue of second hand and out of print books in linguistics and history of linguistics available . it contains 250 titles . please ask for your free copy of the catalogue ( please include your mailing address if you want a paper copy ) or visit us on the net http : / / www . plurabelle . co . uk / lingu . htm or write to dr michael cahn plurabelle books 77 garden walk cambridge cb4 3ew tel 0044 - 1223 - 366680 , fax - 571105 lingu @ plurabelle . co . uk we only sell books we would like to read open anytime at http : / / www . plurabelle . co . uk",Phishing Email,1,1,0,-0.525515897979623,Phishing Email,Safe Email
228," Could you please send the address of your agent in Saudi Arabia.Thanks
Sathar",Phishing Email,1,1,0,-0.3107061894705042,Phishing Email,Safe Email
11492,"GAMING ADVISOR  NEWS July 16, 2002   i2corp Enters into Research and Development Agreement with Nevada Gaming Equipment Supplier For Live Remote Bingo.      
 
The general feeling of the Top Internet Lawyers and Analysts is that ""online gambling and sports betting is here to stay.Â” Attempts at trying to stop it would be largely ineffective! Banning Internet gambling and sports betting presents technical and legal problems that Governments are ill equipped to enforce. WhatÂ’s more, there are NO competitors for the CompanyÂ’s method or technology for remote wagering. i2corp is the Only Company in the World that can legally license its method and technology for remote wagering. i2corp is currently negotiating with
Major Casinos Globally.    
 
Michael Pollock of the Pollock Gaming Resource Group (PRRG) has issued a report studying the effects of live wagering from remote locations. Â“ The study concludes that live wagering from remote locations does more than create a new source of revenue for sponsoring casinos. Additionally, it creates a marketing opportunity, a means to find and cultivate thousands of new customers who can be encouraged to become on-site patrons.Â” A copy of the full report in pdf format can be downloaded at http://www.gamingobserver.com/.
 
i2corp is the holding company for Home Gambling Network, Inc. HGN holds U.S. Patent 5,800,268, which covers remote wagering on live games and events with electronic financial transactions. The Patent is comprised of three primary actions: the gambling is live; the player is remote and physically away from the actual game or event; and the winnings and losses are transacted electronically in real time. They include, but are not limited to, horse racing, soccer, bingo, poker, roulette and many other Las Vegas Casino Games. FACT: Currently there is an overwhelming opinion that remote wagering in real-time will become one of the most profitable/prolific industries worldwide. i2corp recently won judgment against giant UUNET a subsidiary of MCI/WorldCom in a U.S. Federal Court for Patent infringement. Just another compelling reason why i2corp has orphaned their competition! Therefore we conclude i2corpÂ’s common stock to be overlooked and undervalued! RECOMMENDATION: STRONG BUY     i2corp   
OTCBB Symbol                  (ITOO)
Recent Price     	          .05 - .08
52-Week Hi-Lo 	          .05 - .48
Short Term Target Price:     .60This news release contains forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995. Forward-looking statements include statements concerning plans, objectives, goals, strategies, future events or performance and underlying assumptions, and all statements that are other than statements of historical facts. These statements are subject to uncertainties and risks including, but not limited to, product and service demand and acceptance, changes in technology, economic conditions, the impact of competition and pricing, government regulation, and other risks defined in this document. These cautionary statements expressly qualify all such forward-looking statements made by or on behalf of Gaming Advisor. In addition, Gaming Advisor disclaims any obligation to update any forward-looking statements to reflect events or circumstances after the date hereof. The information herein has been obtained from reputable sources and therefore we assume its v
 alidity. Gaming Advisor has been c
ompensated $5,000 for the dissemination of this information and may at anytime buy or sell the securities of i2corpÂ’s common stock.nywguempturgwthionjpsqdw
http://xent.com/mailman/listinfo/fork
",Phishing Email,1,1,0,-0.15086840166405963,Phishing Email,Safe Email
4345,"NEW PRODUCT ANNOUNCEMENTFrom: OUTSOURCE ENG.& MFG. INC.
Sir/Madam;This note is to inform you of new watchdog board technology for maintaining
continuous unattended operation of PC/Servers etc. that we have released for
distribution.
  
We are proud to announce Watchdog Control Center featuring MAM (Multiple
Applications Monitor) capability.
The key feature of this application enables you to monitor as many
applications as you
have resident on any computer as well as the operating system for
continuous unattended operation.  The Watchdog Control Center featuring
MAM capability expands third party application ""control"" of a Watchdog as
access to the application's
source code is no longer needed.Here is how it all works:
Upon installation of the application and Watchdog, the user may select
many configuration options, based on their model of Watchdog, to fit their
operational needs.  If the MAM feature is enabled, the user may select any
executable program that they wish for monitoring.A lock up of the operating system or if any one of the selected
applications is not running, the MAM feature, in
conjunction with the Watchdog, will reset the system allowing for
continuous operation.It's that simple!Watchdog Control Center is supported on most Microsoft Windows platforms
(Win9x/WinNT/Win2k) and includes a Linux version for PCI Programmable
Watchdogs.Watchdog Control Center Features:
- Automated installation
- Controls all Outsource Engineering Watchdogs
- User selectable Watchdog timeout period
- User selectable Watchdog stroke interval
- Multiple Application MonitoringIncluded on the Installation CD:
- Watchdog Control Center
- Watchdog Drivers
- DocumentationFor more information, please visit out website at
http://www.outsrc-em.com/ or send an e-mail to sales@outsrc-em.com",Phishing Email,1,1,0,-0.13149456435301254,Phishing Email,Safe Email
13331,peter g [ tour dates ] tour dates friday 8 th - regua open air saturday 9 th - super club friday 15 th - hot rio club saturday 16 th - forever friday 22 nd - swing saturday 23 rd - sub solo friday 29 th - buddha club saturday 30 th - * * free for booking * * contact for booking peterg . management @ gmail . com,Phishing Email,1,1,0,-0.08711540905607006,Phishing Email,Safe Email
14479,"Dear Sir/Madam,
Â 
I got this email id from your
website.
Â 
Our organisation,
Exhibitions India 
Pvt Ltd organises the annual Convergence India exhibition and
conference in New 
Delhi, India during the month of March. Convergence
India is the longest 
running international trade-show and the only forum
in India to 
showcase the convergence of voice and data networks, delivery
of content, 
television and entertainment applications, broadcast,
telecommunications, fixed 
and mobile networks, internet, computing etc.
Â 
For the same, I
would like to contact 
the concerned person in your organisation. Could you please
advise his/her 
complete contact details or please forward the following mail
to him/her. In 
case you are the decisionÂ maker about participation in
international 
exhibitions, following this mail is some information on our
annual 
event.
Â 
Thank you in
advance.
Â 
Sincerely and with best
regards,
Â 
Deepak Kr. Nagpal
Executive Marketing
Â 
Exhibitions India Pvt.
Ltd.A-17 2nd 
FloorDDA SCO ComplexNear Moolchand FlyoverDefence
ColonyNew 
Delhi 110 024Tel:Â  +91 11 463 8680-84Fax: +91 11
463 3506, 462 
3320email: exhibitionsindia@vsnl
.comwebsite: 
www.exhibitionsindia.o
rg
Â 
Â 
INFORMATION ABOUT THE 
EVENT
Â Exhibitions India
organises the Convergence 
India Â exhibition & conference, which is the
longest running 
international trade-show and the only forum in India
to showcase the 
convergence of voice and data networks, delivery of content,
television and 
entertainment applications, broadcast, telecommunications,
fixed and mobile 
networks, internet, computing etc.
Â 
Exhibitions India invites
you to participate 
at theÂ 11th Convergence India 2003 exhibition
& 
conference, which will be at Pragati Maidan,
New Delhi, 
India duringÂ 11-13 March
2003.
Â 
The 
Government of India has recently mandated the Conditional
Access System for 
distribution of satellite television channels. This has
created a whole new 
marketplace in the Indian cable industry. Once this bill is
made an act, it will 
be mandatory for cable operators to distribute pay channels
through a set-top 
box.India has an estimated 38
million cable homes! The 
implementation of this change will require massive
investments in set-top boxes, 
conditional access software and the upgradation of headend
networks - a great 
oppotunity for you to tap this huge market!! Exhibiting your
products at the 
11th Convergence India exhibition will give you an
opportunity to meet 
all yourÂ  targetted visitors under a
single 
roof.Other
exhibits will be from 
various industries including high speed networking, internet
telephony, mobile 
and satellite communications, network infrastructure, optical
access networking, 
portable communication devices, t&m and interactive
media, VoIP, wireless 
access, 3G, m-commerce, multimedia broadband services via
satellite, conditional 
access technologies, satellite receivers and transmitters,
encoders, decoders, 
and the latest in broadcast, cable and satellite
equipment,Â mobile phone 
accesoriesÂ  etc.We 
successfully concluded the 10th Convergence
India 2002 
exhibition and conference at New Delhi - the event
hadÂ 176 exhibitors from 
17Â countries displaying their equipment and technologies
to a discerning 
audience ofÂ 16,093 visitors from the industry,
government, related trade 
associations. The event got extensive coverage from
theÂ media - both print 
and electronic. The three day high profile conference had
over 1374 delegates. 
Highlights of the event wereÂ country pavilions from
USA, 
FRANCE, CHINA & the
VoIP 
Technology Pavilion.
More about the
next 
event:
Â 
Convergence
India is certified by 
theÂ US Department of Commerce
sinceÂ 1994.
Â 
UK Group
ParticipationÂ : 
Trade Fairs Support,UK
Co-organisers:- 
Ministry of Communications & IT, GovernmentÂ of
India- Association 
of Basic Telecom Operators- Cellular Operators
Association of India- 
Indo-American Chamber of Commerce- VSAT Services
Association of India- 
Telecom Equipment Manufacturers Association of India
(TEMA)- Internet 
Service Providers Association of India (ISPAI
Supports:
All India Aavishkar Dish
Antenna Sangh, 
India, Cable Operators Federation of India,
India,Â Economics, Finance & 
Trade Commission of France (UBI France),Â Electronic
Component Industries 
Association, India,Â Global VSAT Forum,
UK,Â International Broadcasting 
Convention (IBC), UK,Â National Association of
Broadcasters (NAB), 
USA,Â Swiss Multimedia Association,
Switzerland,Â Telecom Users Group of 
India, India,Â The Institution of Electronics and
Telecommunication 
Engineers, India
Â 
Participation 
Cost:Shell
Space:Â Â Â  US $ 
250 per sqm (minimum 9 sqm)
Raw 
Space:Â Â Â Â Â US $ 220 per
sqmÂ (minimum 18 
sqm)
Â 
Please visit our website (www.exhibitionsindia.o
rg) for further 
details.Â 
Â 
We
awaitÂ your 
confirmation!!
",Phishing Email,1,1,0,-0.04668681218113664,Phishing Email,Safe Email
2817,"it ' s cheating , but it works ! can you guess how old she is ? the woman in this photograph looks like a happy teenager about to go to her high school prom , doesn ' t she ? she ' s an international , professional model whose photographs have appeared in hundreds of ads and articles whenever a client needs a photo of an attractive , teenage girl . but guess what ? this model is not a teenager ! no , she is old enough to have a 7 - year - old daughter . . and . . . the model ' s real age is in her 30 ' s . all she will say about her age to her close friends is , "" i ' m dangerously close to 40 . "" she also says , "" if it weren ' t for this amazing new cosmetic cream called ' deception , ' i would lose hundreds of modeling assignments . . . because . . . there is no way i could pass myself off as a teenager . "" learn more about this amazing new product . . . please refer all questions , opinions or additional feedback to : service dept 9420 reseda blvd # 133 northridge , ca 91324",Phishing Email,1,1,0,-0.04390108951867765,Phishing Email,Safe Email
9527,"morozko « zero » : : : « » , , , ! ! ! - ! : 19 . 12 . 04 - , « » 17 . 00 21 . 12 . 04 - - , « » 17 . 00 22 . 12 . 04 - , 17 . 00 25 . 12 . 04 . - , « » , 11 . 00 - , « » , 17 . 00 26 . 12 . 04 . - - - , « » , 17 . 00 27 . 12 . 04 - , , 17 . 00 28 . 12 . 04 - - , « » 17 . 00 29 . 12 . 04 - , - - 17 . 00 30 . 12 . 04 - - , - - 17 . 00 1 . 01 . 05 - , ; 17 . 00 2 . 01 . 05 - - , , 17 . 00 3 . 01 . 05 - , . - - , « » 17 . 00 5 . 01 . 05 - , « » 17 . 00 6 . 01 . 05 - - , 17 . 00 8 . 01 . 05 - - , 18 . 00 9 . 01 . 05 - , 17 . 00 10 . 01 . 05 - , 17 . 00 : 0547484197 m , . , path heterochromatic pundit carby secondhand imroz adiaphorous menes monaco rundown transferral tidy angelico nanometer cheshunt neath rummy anapaest microtomy willa segment moustache seven leopardi wholehearted sapient gwent desmoid triton gwalior pervasion papal unite dorsoventral ninth rip mitis slate persecutory toilet % random _ textnormal hohenlohe veda cuernavaca wind tommy sloven parmigianino stratford satiable tit heenan seedling quarrymen tess epizoon",Phishing Email,1,1,0,-0.03750230205812209,Phishing Email,Safe Email
7028,"If you are a time traveler or alien disguised as human and or have
the technology to travel physically through time I need your help!My life has been severely tampered with and cursed!!
I have suffered tremendously and am now dying!I need to be able to:Travel back in time.Rewind my life including my age back to 4.I am in very great danger and need this immediately!I am aware of two types of time travel one in physical form and 
the other
in energy form where a snapshot of your brain is taken using 
either the
dimensional warp or the carbon copy replica device and then sends 
your consciousness
back through time to part with your younger self. Please explain
how safe and what your method involves.I have a time machine now, but it has limited abilitys and is 
useless
without
a vortex.If you can provide information on how to create vortex generator 
or
where I can get some of the blue glowing moon crystals this would 
also
be helpful. I am however concerned with the high level of 
radiation these
crystals give off, if  you could provide a shielding that would be 
great.
I believe the vortex needs to be east-west polarized,
North-south polarized vortexexs are used for cross-dimensional 
time 
travel only.
Only if you have this technology and can help me exactly as 
mentioned
please send me a (SEPARATE) email to: IneedTimeTravel@aol.comPlease do not reply if your an evil alien!
Thanks
 
 
 
 
 
 
 
 
 
 
 
 
 
",Phishing Email,1,1,0,-0.004364091122237471,Phishing Email,Safe Email
